incident_id,date,province,attack_type,sector,severity,victims_count,financial_loss_idr,is_resolved,response_time_hours,source
INC-000653,2023-07-18,Aceh,Phishing,Asuransi,Medium,26,195752726.0,False,56.0,BSSN
INC-000170,2021-12-11,DKI Jakarta,Credential Stuffing,Ritel,Low,44,115950736.0,True,185.0,Kominfo
INC-001203,2023-02-09,Banten,Social Engineering,Media,Critical,38763,1119224255760.0,True,0.0,Kepolisian
INC-001340,2022-02-19,Jawa Tengah,Data Breach,Transportasi,High,5658,129107667090.0,True,118.0,BSSN
INC-000674,2020-11-04,Jawa Barat,Business Email Compromise,Pemerintahan,High,7933,338277677055.0,False,24.0,Laporan Publik
INC-000520,2021-12-25,Jawa Timur,SQL Injection,Fintech,High,1697,28266632025.0,True,17.0,Kominfo
INC-000266,2024-01-15,Riau,Malware,Media,High,2925,47353951125.0,True,143.0,Kepolisian
INC-000716,2024-02-09,DKI Jakarta,Phishing,Ritel,Critical,36057,3402779136540.0,False,48.0,BSSN
INC-000823,2023-07-20,Sumatera Utara,Malware,Energi,High,6047,184139192510.0,True,18.0,Laporan Publik
INC-000774,2023-11-12,Jawa Timur,DDoS,Media,High,3122,78866356170.0,True,35.0,Laporan Publik
INC-001364,2021-03-23,Jawa Barat,Phishing,Perbankan,Low,89,82300614.0,True,75.0,Kominfo
INC-000860,2023-01-06,Banten,Phishing,Manufaktur,Low,59,104159662.0,False,65.0,BSSN
INC-001216,2023-05-06,Nusa Tenggara Barat,Social Engineering,Kesehatan,Low,95,169696505.0,False,13.0,BSSN
INC-000045,2022-05-18,DKI Jakarta,Data Breach,Pemerintahan,Critical,18276,1685318781360.0,False,14.0,Kominfo
INC-000934,2022-11-05,DKI Jakarta,Data Breach,Energi,Critical,51044,4684227740920.0,True,77.0,Kepolisian
INC-001117,2021-10-03,Jawa Tengah,Social Engineering,Asuransi,High,9795,456102411900.0,False,68.0,Kominfo
INC-000990,2024-02-23,DKI Jakarta,Phishing,Pemerintahan,Medium,960,3531539520.0,False,3.0,Kepolisian
INC-000290,2023-09-17,Jawa Barat,Ransomware,Ritel,Critical,77853,,False,61.0,Laporan Publik
INC-000254,2022-05-17,Jawa Timur,DDoS,Kesehatan,Medium,681,778671063.0,True,42.0,Laporan Publik
INC-000768,2022-08-23,Sumatera Selatan,Credential Stuffing,Media,Low,52,121767256.0,True,25.0,BSSN
INC-000645,2023-10-13,Maluku Utara,Social Engineering,Kesehatan,Medium,567,3975212619.0,False,0.0,BSSN
INC-001466,2023-07-25,Jawa Tengah,Website Defacement,Media,Medium,230,1972290710.0,True,28.0,BSSN
INC-000216,2023-04-16,Bangka Belitung,Social Engineering,Asuransi,Medium,355,2953912045.0,True,36.0,BSSN
INC-001326,2023-06-23,DKI Jakarta,Phishing,Media,Low,21,135612162.0,False,5.0,BSSN
INC-001384,2020-09-16,Sulawesi Utara,Business Email Compromise,Manufaktur,High,7512,256453294800.0,False,6.0,Laporan Publik
INC-000957,2024-02-24,DKI Jakarta,Insider Threat,Pemerintahan,High,5740,95410280000.0,True,93.0,Kepolisian
INC-000978,2021-09-28,Aceh,Ransomware,Manufaktur,Critical,48367,3390042062660.0,True,8.0,Kominfo
INC-000878,2022-02-04,Sulawesi Tenggara,Ransomware,Energi,Critical,50047,1677015414070.0,True,19.0,Laporan Publik
INC-000803,2023-09-01,Banten,Malware,Fintech,Critical,97496,5785962517440.0,True,14.0,Kominfo
INC-001331,2021-02-13,Nusa Tenggara Barat,DDoS,Transportasi,High,4455,9711521325.0,True,5.0,Kepolisian
INC-000349,2023-08-02,Banten,Phishing,Ritel,Medium,792,5205854808.0,True,4.0,Laporan Publik
INC-000347,2023-06-16,Kalimantan Utara,Data Breach,Fintech,Critical,70409,6880511114360.0,True,88.0,BSSN
INC-000100,2023-01-01,Maluku,Phishing,Manufaktur,Low,29,96542885.0,False,28.0,Kepolisian
INC-001065,2022-05-27,DKI Jakarta,Data Breach,Telekomunikasi,High,1954,61682064550.0,False,249.0,Laporan Publik
INC-000239,2022-03-04,Banten,Phishing,Kesehatan,Medium,456,2173191120.0,True,4.0,BSSN
INC-000115,2023-03-19,Sulawesi Tenggara,Data Breach,Telekomunikasi,Medium,834,7262441976.0,True,53.0,BSSN
INC-001352,2023-11-25,Jawa Timur,Social Engineering,Manufaktur,Critical,88710,6975632785200.0,True,151.0,Laporan Publik
INC-001451,2020-11-24,DKI Jakarta,Phishing,Manufaktur,Medium,891,2779324812.0,True,76.0,BSSN
INC-000141,2024-01-15,Jawa Timur,Ransomware,Ritel,Critical,38134,2227650234920.0,True,52.0,Kominfo
INC-001117,2021-10-03,Jawa Tengah,Social Engineering,Asuransi,High,9795,456102411900.0,False,68.0,Kominfo
INC-000508,2023-04-21,Jawa Timur,Business Email Compromise,Manufaktur,High,8382,385363288200.0,True,,Kepolisian
INC-001341,2023-08-26,Jawa Timur,Phishing,Transportasi,Low,57,,False,19.0,BSSN
INC-001147,2022-08-25,Sulawesi Selatan,Data Breach,Asuransi,High,3248,105006183520.0,True,6.0,Kominfo
INC-001260,2023-07-23,Jawa Timur,Phishing,Kesehatan,High,8470,162012593050.0,True,106.0,Laporan Publik
INC-000895,2020-07-04,DKI Jakarta,Malware,Energi,High,1029,25020598050.0,True,1.0,Kominfo
INC-000294,2023-09-26,Jawa Barat,Cryptojacking,Ritel,Low,58,540441390.0,True,8.0,Kepolisian
INC-001242,2023-07-16,Jawa Timur,Malware,Manufaktur,Medium,785,2193815950.0,True,55.0,Kominfo
INC-001251,2021-05-28,Jawa Timur,Ransomware,Perbankan,Medium,611,981534840.0,True,35.0,Kepolisian
INC-001380,2023-06-06,DKI Jakarta,DDoS,Kesehatan,Low,39,170299740.0,True,0.0,BSSN
INC-000178,2024-03-26,Jawa Tengah,Ransomware,Media,Medium,531,3552264153.0,True,69.0,BSSN
INC-001095,2023-02-25,DKI Jakarta,Social Engineering,Perbankan,Critical,70165,648503520750.0,True,0.0,Kepolisian
INC-000098,2022-05-08,Jawa Timur,Data Breach,Asuransi,High,1039,25854637045.0,True,78.0,Kominfo
INC-000385,2023-04-23,Jawa Tengah,DDoS,Media,Medium,85,614494155.0,True,2.0,Kominfo
INC-000929,2021-12-31,Lampung,Man-in-the-Middle,Ritel,Medium,115,810068625.0,True,6.0,Kepolisian
INC-000557,2022-06-18,DKI Jakarta,Ransomware,UMKM,Critical,98676,6092774289000.0,False,29.0,Kepolisian
INC-001462,2021-07-08,Sulawesi Selatan,Social Engineering,Asuransi,High,3467,39043689840.0,True,42.0,Laporan Publik
INC-000310,2022-12-23,Maluku,Business Email Compromise,Energi,Medium,752,6588535952.0,True,14.0,Laporan Publik
INC-001193,2023-12-26,DKI Jakarta,Malware,Ritel,High,8808,263362591080.0,True,30.0,Kominfo
INC-000412,2024-03-16,Kalimantan Selatan,Malware,Pemerintahan,High,9003,323031376245.0,True,64.0,BSSN
INC-001261,2024-02-11,DKI Jakarta,Data Breach,Perbankan,Medium,809,5931139005.0,False,118.0,Kominfo
INC-000945,2023-01-15,Jawa Barat,Social Engineering,E-Commerce,Medium,668,248234812.0,True,44.0,BSSN
INC-000825,2023-04-02,Sulawesi Barat,Insider Threat,Pendidikan,Low,65,336010870.0,False,101.0,Kepolisian
INC-001488,2024-06-29,Sumatera Selatan,Phishing,UMKM,Medium,889,2512693603.0,True,0.0,BSSN
INC-000871,2021-06-12,Jawa Timur,Ransomware,Fintech,Critical,44744,3555800758160.0,False,40.0,Kepolisian
INC-000691,2024-10-10,Riau,Social Engineering,Energi,Medium,388,1762734828.0,False,11.0,Kepolisian
INC-000926,2022-04-15,Jawa Barat,DDoS,Manufaktur,Low,3,15780075.0,True,106.0,Laporan Publik
INC-000800,2020-10-20,Nusa Tenggara Timur,Data Breach,Transportasi,High,9280,239038972800.0,True,41.0,BSSN
INC-000799,2023-10-18,Jawa Timur,Data Breach,Transportasi,High,4384,150382379200.0,True,73.0,Kominfo
INC-000578,2022-04-23,Jawa Timur,Phishing,UMKM,Low,1,9566898.0,True,21.0,Kominfo
INC-000595,2022-01-21,Jawa Barat,Phishing,UMKM,High,5039,173996544025.0,True,13.0,Laporan Publik
INC-001319,2020-09-13,DKI Jakarta,Data Breach,Pendidikan,High,1809,12543542685.0,True,38.0,Kepolisian
INC-000161,2022-06-02,DKI Jakarta,Zero-Day Exploit,UMKM,Medium,621,3010292532.0,True,1.0,Kepolisian
INC-001123,2022-12-01,Nusa Tenggara Barat,Phishing,Kesehatan,High,9374,280173627250.0,True,15.0,BSSN
INC-001294,2023-11-17,Riau,Phishing,Ritel,Medium,443,4332963508.0,True,22.0,Kepolisian
INC-000241,2022-07-28,Jawa Tengah,Phishing,Ritel,Medium,371,3204082511.0,True,30.0,Kominfo
INC-000537,2021-01-15,DKI Jakarta,Social Engineering,UMKM,High,8859,295108527480.0,True,2.0,Kepolisian
INC-001021,2022-06-20,Jawa Barat,Data Breach,E-Commerce,High,6252,208198789800.0,False,38.0,Kominfo
INC-001213,2022-07-16,Sulawesi Tenggara,Credential Stuffing,Fintech,Medium,823,330805673.0,False,28.0,BSSN
INC-000753,2021-01-22,Jawa Tengah,Phishing,UMKM,Low,55,209073645.0,False,79.0,BSSN
INC-001035,2024-03-10,DKI Jakarta,DDoS,Media,Low,5,48917420.0,False,23.0,Kepolisian
INC-001428,2023-08-15,Sulawesi Barat,Phishing,UMKM,Critical,93038,2416976518440.0,False,90.0,BSSN
INC-001074,2021-07-30,DKI Jakarta,Phishing,Pemerintahan,Low,64,73704704.0,False,67.0,Laporan Publik
INC-000784,2023-04-26,Jawa Timur,DDoS,Media,Medium,193,1744751652.0,False,23.0,Laporan Publik
INC-000072,2022-03-23,Aceh,Malware,Manufaktur,Medium,570,1647872280.0,True,61.0,BSSN
INC-000439,2024-12-05,Jawa Timur,Cryptojacking,E-Commerce,High,3340,21353321400.0,True,131.0,Laporan Publik
INC-000552,2023-03-14,Banten,Cryptojacking,Pemerintahan,Medium,507,228028320.0,True,17.0,Kominfo
INC-000295,2022-11-04,Kalimantan Timur,Social Engineering,Transportasi,Critical,33872,1772477387680.0,True,122.0,Kominfo
INC-000739,2021-03-04,Jawa Barat,Phishing,Transportasi,High,3988,75027579980.0,True,43.0,Kominfo
INC-000498,2021-12-04,DKI Jakarta,Social Engineering,E-Commerce,Medium,226,754242230.0,True,15.0,BSSN
INC-000165,2021-10-23,Maluku,Data Breach,Pemerintahan,High,752,31604792800.0,True,38.0,Kepolisian
INC-001121,2024-10-06,Papua Barat,Zero-Day Exploit,Asuransi,Critical,2868,206483782320.0,False,72.0,Kominfo
INC-001220,2022-10-23,DKI Jakarta,Social Engineering,Energi,High,6181,170875228440.0,True,81.0,Kominfo
INC-000757,2022-10-03,Jawa Timur,Malware,E-Commerce,High,9405,315141235200.0,False,104.0,Laporan Publik
INC-000635,2021-08-25,DKI Jakarta,Ransomware,Pendidikan,Critical,3108,14484585360.0,True,7.0,BSSN
INC-000628,2022-04-16,Jawa Barat,Man-in-the-Middle,Pemerintahan,Medium,485,1219557235.0,True,139.0,BSSN
INC-001376,2022-09-17,Jawa Timur,Data Breach,UMKM,High,2115,62770767750.0,True,34.0,Kepolisian
INC-000898,2023-02-08,Jawa Barat,DDoS,Media,Medium,815,5527423725.0,True,141.0,Kominfo
INC-000063,2022-10-24,Jawa Timur,Phishing,Perbankan,Low,3,29096463.0,False,2.0,Laporan Publik
INC-001120,2023-11-02,Nusa Tenggara Barat,Business Email Compromise,Pemerintahan,Medium,180,444334320.0,True,282.0,Kominfo
INC-000442,2021-08-12,Sulawesi Barat,SQL Injection,Telekomunikasi,Medium,270,2181500910.0,True,150.0,Laporan Publik
INC-001258,2020-08-25,DI Yogyakarta,Credential Stuffing,Transportasi,Medium,633,775845312.0,True,35.0,BSSN
INC-001332,2023-11-26,DKI Jakarta,Malware,Kesehatan,Medium,243,623779299.0,False,126.0,Laporan Publik
INC-000154,2022-04-26,Jawa Timur,Data Breach,Kesehatan,High,6252,104046065340.0,True,156.0,Kominfo
INC-000317,2022-07-29,Jawa Tengah,DDoS,Pemerintahan,Medium,991,5662631478.0,True,67.0,Kominfo
INC-000505,2024-03-09,DKI Jakarta,Phishing,Telekomunikasi,Medium,635,6220585095.0,True,23.0,Kominfo
INC-001374,2023-11-17,DKI Jakarta,SQL Injection,Telekomunikasi,Critical,14418,709085890800.0,True,110.0,Kominfo
INC-000708,2021-12-19,Jawa Timur,Data Breach,UMKM,Critical,36794,1740725611760.0,True,43.0,Kepolisian
INC-000332,2023-06-10,Jawa Barat,Data Breach,Manufaktur,High,6602,221190536130.0,False,13.0,Laporan Publik
INC-001497,2023-10-21,DKI Jakarta,DDoS,Telekomunikasi,Critical,86350,4010908280500.0,True,26.0,Kominfo
INC-000256,2023-05-15,Bangka Belitung,Business Email Compromise,Telekomunikasi,Low,79,206792454.0,True,167.0,Laporan Publik
INC-000062,2024-03-25,Banten,Malware,Kesehatan,Medium,273,2244806382.0,True,45.0,Kepolisian
INC-000840,2022-02-14,Kalimantan Utara,Malware,Fintech,Medium,316,455204952.0,False,131.0,BSSN
INC-000463,2021-05-14,Jawa Barat,Phishing,Media,Medium,770,5518792510.0,True,5.0,BSSN
INC-000312,2023-03-26,Jawa Barat,Cryptojacking,Pemerintahan,Critical,82686,5678389940040.0,True,3.0,Kominfo
INC-000149,2022-04-30,Jawa Barat,Phishing,Ritel,Low,41,235200149.0,True,9.0,BSSN
INC-001411,2021-11-06,Jawa Barat,Social Engineering,Asuransi,Medium,812,3109185352.0,True,65.0,Laporan Publik
INC-000938,2022-03-05,Sulawesi Tenggara,Phishing,Pemerintahan,Medium,763,7231620151.0,False,17.0,Laporan Publik
INC-001470,2022-09-26,Jawa Tengah,Business Email Compromise,Kesehatan,Critical,93152,7312069638720.0,False,64.0,BSSN
INC-000954,2022-07-30,Bali,Phishing,Perbankan,Low,84,256639068.0,True,7.0,Kominfo
INC-000973,2022-01-08,Nusa Tenggara Timur,Social Engineering,Asuransi,Low,87,649649967.0,True,33.0,Laporan Publik
INC-001063,2024-08-11,DKI Jakarta,Social Engineering,Pemerintahan,Low,78,22657206.0,True,42.0,Kepolisian
INC-000982,2023-12-14,Gorontalo,Data Breach,Kesehatan,High,4368,33516450240.0,False,37.0,Kominfo
INC-001302,2023-08-29,Sumatera Utara,Ransomware,Media,Critical,26135,143760010450.0,False,7.0,Kominfo
INC-001051,2021-06-22,Sulawesi Utara,Cryptojacking,Telekomunikasi,High,7128,54637652520.0,True,6.0,Kepolisian
INC-000862,2023-09-20,Jawa Tengah,Malware,E-Commerce,High,4759,207714835660.0,False,28.0,Kepolisian
INC-001444,2023-09-11,Sumatera Selatan,DDoS,Kesehatan,Medium,755,2726643995.0,True,8.0,Kepolisian
